Location.Sample.date,Year,Season,Facility,Production.Area,Swab.Site,Shannon,YM,Log10YM,YM-bin,,,,
B.05.2,2022,Fall,Batavia,Raw,Door,1.660868136,0.00E+00,0.00E+00,Low,,,,
B.05A.1,2022,Summer,Batavia,Raw,Door,0.374643483,0,0.00E+00,Low,,,,
B.05B.1,2022,Summer,Batavia,Raw,Door,0,0,0.00E+00,Low,,,,
B.06.2,2022,Fall,Batavia,Raw,Floor,1.061606064,0.00E+00,0.00E+00,Low,,,,
B.08A.1,2022,Summer,Batavia,Raw,Floor,0,0,0.00E+00,Low,,,,
B.12.3,2023,Winter,Batavia,Raw,Door,1.401074944,0.00E+00,0.00E+00,Low,,,,
B.13.2,2022,Fall,Batavia,Post-Pasteurization,Floor,2.136725377,6.50E+06,6.81E+00,High,,,,
B.13A.1,2022,Summer,Batavia,Post-Pasteurization,Floor,0,1.05E+03,3.02E+00,Medium,,,,
B.13B.1,2022,Summer,Batavia,Post-Pasteurization,Floor,0.996268966,1.00E+05,5.00E+00,High,,,,
B.16.2,2022,Fall,Batavia,Filling,Wall/Ceiling,1.613250816,3.15E+03,3.50E+00,Medium,,,,
B.16.4,2023,Spring,Batavia,Filling,Wall/Ceiling,1.334686678,1.20E+03,3.08E+00,Medium,,,,
B.16A.1,2022,Summer,Batavia,Filling,Wall/Ceiling,0.154954881,1.40E+03,3.15E+00,Medium,,,,
B.16B.1,2022,Summer,Batavia,Filling,Wall/Ceiling,0.334675287,7.00E+02,2.85E+00,Low,,,,
B.18.4,2023,Spring,Batavia,Filling,Wall/Ceiling,1.307103543,9.60E+03,3.98E+00,Medium,,,,
B.18A.1,2022,Summer,Batavia,Filling,Wall/Ceiling,0.323113967,8.00E+06,6.90E+00,High,,,,
B.25.2,2022,Fall,Batavia,Warehouse,Fan/Vent,2.957479806,1.50E+02,2.18E+00,Low,,,,
B.25.4,2023,Spring,Batavia,Warehouse,Fan/Vent,3.365097869,2.80E+03,3.45E+00,Medium,,,,
B.25B.1,2022,Summer,Batavia,Warehouse,Fan/Vent,0.649248355,3.00E+02,2.48E+00,Low,,,,
B.26.2,2022,Fall,Batavia,Warehouse,Door,1.647024559,2.45E+03,3.39E+00,Medium,,,,
B.26.4,2023,Spring,Batavia,Warehouse,Door,3.9842193,4.00E+02,2.60E+00,Low,,,,
B.26A.1,2022,Summer,Batavia,Warehouse,Door,2.457366859,4.80E+03,3.68E+00,Medium,,,,
B.26B.1,2022,Summer,Batavia,Warehouse,Door,0,8.50E+02,2.93E+00,Low,,,,
B.28.2,2022,Fall,Batavia,Warehouse,Floor,3.174589411,1.90E+03,3.28E+00,Medium,,,,
B.28.4,2023,Spring,Batavia,Warehouse,Floor,3.324497588,4.40E+03,3.64E+00,Medium,,,,
B.28A.1,2022,Summer,Batavia,Warehouse,Floor,2.585697238,4.50E+02,2.65E+00,Low,,,,
B.28B.1,2022,Summer,Batavia,Warehouse,Floor,0,8.50E+02,2.93E+00,Low,,,,
B.33.2,2022,Fall,Batavia,Warehouse,Door,1.300519043,1.05E+05,5.02E+00,High,,,,
B.33.4,2023,Spring,Batavia,Warehouse,Door,2.960767848,8.00E+02,2.90E+00,Low,,,,
B.33A.1,2022,Summer,Batavia,Warehouse,Door,2.25472329,0.00E+00,0.00E+00,Low,,,,
B.33B.1,2022,Summer,Batavia,Warehouse,Door,2.359955006,5.00E+03,3.70E+00,Medium,,,,
B.E5.2,2022,Fall,Batavia,Warehouse,Door,2.713771444,1.90E+03,3.28E+00,Medium,,,,
B.E5.4,2023,Spring,Batavia,Warehouse,Door,3.513564253,6.00E+03,3.78E+00,Medium,,,,
B.E7.2,2022,Fall,Batavia,Warehouse,Floor,3.358405099,2.00E+02,2.30E+00,Low,,,,
NL.01.1,2022,Summer,North.Lawrence,Raw,Floor,2.014986958,1.50E+03,3.18E+00,Medium,,,,
NL.01.2,2022,Fall,North.Lawrence,Raw,Floor,1.385440058,3.66E+04,4.56E+00,High,,,,
NL.01.3,2023,Winter,North.Lawrence,Raw,Floor,1.305038238,2.53E+05,5.40E+00,High,,,,
NL.01.4,2023,Spring,North.Lawrence,Raw,Floor,0.350939376,5.60E+03,3.75E+00,Medium,,,,
NL.05.4,2023,Spring,North.Lawrence,Warehouse,Floor,2.585037331,2.80E+03,3.45E+00,Medium,,,,
NL.07.1,2022,Summer,North.Lawrence,Warehouse,Door,2.178200645,0.00E+00,0.00E+00,Low,,,,
NL.07.2,2022,Fall,North.Lawrence,Warehouse,Door,0.614629452,0.00E+00,0.00E+00,Low,,,,
NL.07.3,2023,Winter,North.Lawrence,Warehouse,Door,2.579755093,1.12E+04,4.05E+00,Medium,,,,
NL.07.4,2023,Spring,North.Lawrence,Warehouse,Door,2.09699746,8.00E+02,2.90E+00,Low,,,,
NL.08.1,2022,Summer,North.Lawrence,Post-Pasteurization,Floor,1.397958276,1.88E+08,8.27E+00,High,,,,
NL.08.2,2022,Fall,North.Lawrence,Post-Pasteurization,Floor,0.349846311,0.00E+00,0.00E+00,Low,,,,
NL.08.4,2023,Spring,North.Lawrence,Post-Pasteurization,Floor,0.873372194,1.08E+04,4.03E+00,Medium,,,,
NL.10.1,2022,Summer,North.Lawrence,Post-Pasteurization,Wall/Ceiling,0.311278222,3.15E+05,5.50E+00,High,,,,
NL.10.2,2022,Fall,North.Lawrence,Post-Pasteurization,Wall/Ceiling,0.499203127,0.00E+00,0.00E+00,Low,,,,
NL.10.3,2023,Winter,North.Lawrence,Post-Pasteurization,Wall/Ceiling,0.577757767,5.60E+03,3.75E+00,Medium,,,,
NL.10.4,2023,Spring,North.Lawrence,Post-Pasteurization,Wall/Ceiling,2.397948427,1.20E+03,3.08E+00,Medium,,,,
NL.14.1,2022,Summer,North.Lawrence,Post-Pasteurization,Floor,2.176974412,1.88E+04,4.27E+00,Medium,,,,
NL.14.2,2022,Fall,North.Lawrence,Post-Pasteurization,Floor,2.325480516,4.50E+02,2.65E+00,Low,,,,
NL.14.4,2023,Spring,North.Lawrence,Post-Pasteurization,Floor,0.953747561,5.60E+07,7.75E+00,High,,,,
NL.15.1,2022,Summer,North.Lawrence,Post-Pasteurization,Floor,1.807237041,1.06E+04,4.03E+00,Medium,,,,
NL.15.4,2023,Spring,North.Lawrence,Post-Pasteurization,Floor,2.813281582,0.00E+00,0.00E+00,Low,,,,
NL.20.1,2022,Summer,North.Lawrence,Post-Pasteurization,Wall/Ceiling,0.608460094,1.50E+07,7.18E+00,High,,,,
NL.31.1,2022,Summer,North.Lawrence,Filling,Door,0.887694121,3.50E+03,3.54E+00,Medium,,,,
NL.33.1,2022,Summer,North.Lawrence,Filling,Door,0,3.00E+02,2.48E+00,Low,,,,
NL.35.1,2022,Summer,North.Lawrence,Warehouse,Door,2.370319798,1.57E+08,8.20E+00,High,,,,
NL.35.2,2022,Fall,North.Lawrence,Warehouse,Door,1.095768289,0.00E+00,0.00E+00,Low,,,,
NL.48.1,2022,Summer,North.Lawrence,Filling,Door,0.405047962,1.40E+03,3.15E+00,Medium,,,,
NL.48.2,2022,Fall,North.Lawrence,Filling,Door,2.270167985,0.00E+00,0.00E+00,Low,,,,
NL.50.1,2022,Summer,North.Lawrence,Warehouse,Floor,3.251366701,8.00E+02,2.90E+00,Low,,,,
NL.50.2,2022,Fall,North.Lawrence,Warehouse,Floor,3.575865814,1.50E+02,2.18E+00,Low,,,,
NL.50.3,2023,Winter,North.Lawrence,Warehouse,Floor,3.550452465,0.00E+00,0.00E+00,Low,,,,
NL.50.4,2023,Spring,North.Lawrence,Warehouse,Floor,2.932901641,3.80E+04,4.58E+00,High,,,,
NL.51.2,2022,Fall,North.Lawrence,Warehouse,Fan/Vent,1.562311535,4.00E+03,3.60E+00,Medium,,,,
NL.51.3,2023,Winter,North.Lawrence,Warehouse,Fan/Vent,1.810429835,3.84E+04,4.58E+00,High,,,,
NL.51.4,2023,Spring,North.Lawrence,Warehouse,Fan/Vent,1.619058522,8.00E+03,3.90E+00,Medium,,,,
NL.E13.3,2023,Winter,North.Lawrence,Filling,Floor,1.365259332,6.80E+05,5.83E+00,High,,,,
NL.E8.2,2022,Fall,North.Lawrence,Warehouse,Wall/Ceiling,2.064403842,2.20E+05,5.34E+00,High,,,,
NL.E8.3,2023,Winter,North.Lawrence,Warehouse,Wall/Ceiling,2.744204778,6.20E+04,4.79E+00,High,,,,
NL.E8.4,2023,Spring,North.Lawrence,Warehouse,Wall/Ceiling,1.68864851,1.29E+05,5.11E+00,High,,,,
NL.E9.2,2022,Fall,North.Lawrence,Warehouse,Floor,0.923015662,7.00E+04,4.85E+00,High,,,,
NL.E9.3,2023,Winter,North.Lawrence,Warehouse,Floor,1.936559433,4.80E+04,4.68E+00,High,,,,
NL.E9.4,2023,Spring,North.Lawrence,Warehouse,Floor,2.333476748,1.53E+05,5.18E+00,High,,,,
WS.07.1,2022,Summer,West.Senecca,Warehouse,Door,0,0.00E+00,0.00E+00,Low,,,,
WS.12.1,2022,Summer,West.Senecca,Raw,Fan/Vent,0.679985922,2.00E+02,2.30E+00,Low,,,,
WS.12.2,2022,Fall,West.Senecca,Raw,Fan/Vent,2.124857071,0.00E+00,0.00E+00,Low,,,,
WS.12.3,2023,Winter,West.Senecca,Raw,Fan/Vent,2.959848418,0.00E+00,0.00E+00,Low,,,,
Floor.A.Summer,2022,Summer,West.Senecca,Warehouse,Floor,0,1.88E+04,4.27E+00,Medium,,,,
Floor.A.Fall,2022,Fall,West.Senecca,Warehouse,Floor,1.474822823,1.07E+04,4.03E+00,Medium,,,,
Floor.A.Winter,2023,Winter,West.Senecca,Warehouse,Floor,1.439215428,0.00E+00,0.00E+00,Low,,,,
Floor.A.Spring,2023,Spring,West.Senecca,Warehouse,Floor,0.816742386,5.32E+04,4.73E+00,High,,,,
Floor.B.Summer,2022,Summer,West.Senecca,Warehouse,Floor,0,2.30E+03,3.36E+00,Medium,,,,
Floor.B.Fall,2022,Fall,West.Senecca,Warehouse,Floor,1.593894901,9.50E+04,4.98E+00,High,,,,
Floor.B.Winter,2023,Winter,West.Senecca,Warehouse,Floor,0.470714742,3.60E+03,3.56E+00,Medium,,,,
Floor.B.Spring,2023,Spring,West.Senecca,Warehouse,Floor,1.291150513,4.00E+03,3.60E+00,Medium,,,,
WS.18.2,2022,Fall,West.Senecca,Warehouse,Wall/Ceiling,1.038766246,4.62E+04,4.66E+00,High,,,,
WS.18.3,2023,Winter,West.Senecca,Warehouse,Wall/Ceiling,0.769047586,2.96E+06,6.47E+00,High,,,,
WS.18.4,2023,Spring,West.Senecca,Warehouse,Wall/Ceiling,0.707230021,2.36E+06,6.37E+00,High,,,,
WS.21.1,2022,Summer,West.Senecca,Post-Pasteurization,Door,0,1.45E+03,3.16E+00,Medium,,,,
