##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Mucor_WGS_A01_1_10475491_22MKWLLT3_L1_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	26877936
Total Bases	4 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	38
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.98817416634968	40.0	40.0	40.0	40.0	40.0
2	39.392841771778905	40.0	40.0	40.0	40.0	40.0
3	39.476459501949854	40.0	40.0	40.0	40.0	40.0
4	39.41983372532772	40.0	40.0	40.0	40.0	40.0
5	39.40814242581722	40.0	40.0	40.0	40.0	40.0
6	39.41617057202607	40.0	40.0	40.0	40.0	40.0
7	39.469662105006876	40.0	40.0	40.0	40.0	40.0
8	39.45930386916614	40.0	40.0	40.0	40.0	40.0
9	39.50620776833459	40.0	40.0	40.0	40.0	40.0
10-14	39.51369347705865	40.0	40.0	40.0	40.0	40.0
15-19	39.6213906008259	40.0	40.0	40.0	40.0	40.0
20-24	39.641567269153406	40.0	40.0	40.0	40.0	40.0
25-29	39.49958475978215	40.0	40.0	40.0	40.0	40.0
30-34	39.47420333168439	40.0	40.0	40.0	40.0	40.0
35-39	39.50375570505116	40.0	40.0	40.0	40.0	40.0
40-44	39.49523537819273	40.0	40.0	40.0	40.0	40.0
45-49	39.500177230870705	40.0	40.0	40.0	40.0	40.0
50-54	39.49216606513238	40.0	40.0	40.0	40.0	40.0
55-59	39.48087515350882	40.0	40.0	40.0	40.0	40.0
60-64	39.470239664236125	40.0	40.0	40.0	40.0	40.0
65-69	39.456268844452936	40.0	40.0	40.0	40.0	40.0
70-74	39.444444126959745	40.0	40.0	40.0	40.0	40.0
75-79	39.417392957554476	40.0	40.0	40.0	40.0	40.0
80-84	39.402419426848844	40.0	40.0	40.0	40.0	40.0
85-89	39.37539641436753	40.0	40.0	40.0	40.0	40.0
90-94	39.345491588342206	40.0	40.0	40.0	40.0	40.0
95-99	39.3407386340975	40.0	40.0	40.0	40.0	40.0
100-104	39.31301757694489	40.0	40.0	40.0	40.0	40.0
105-109	39.29002162963703	40.0	40.0	40.0	40.0	40.0
110-114	39.25265562058039	40.0	40.0	40.0	40.0	40.0
115-119	39.2271735151092	40.0	40.0	40.0	40.0	40.0
120-124	39.20779388714966	40.0	40.0	40.0	40.0	40.0
125-129	39.18454555439079	40.0	40.0	40.0	40.0	40.0
130-134	39.142569340145755	40.0	40.0	40.0	40.0	40.0
135-139	39.11387483026971	40.0	40.0	40.0	40.0	40.0
140-144	39.07804059061677	40.0	40.0	40.0	40.0	40.0
145-149	39.030649570711084	40.0	40.0	40.0	40.0	40.0
150	39.00172706713789	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.18542870218738727
1101	2	-0.1199466299625982
1101	3	-0.07606704172410161
1101	4	-0.202675355084466
1101	5	-0.15703588251218292
1101	6	-0.1353911108720638
1101	7	-0.10964384177878372
1101	8	-0.12951713128921227
1101	9	-0.06803360066498243
1101	10-14	-0.1538829476418897
1101	15-19	-0.09142631968740744
1101	20-24	-0.04038876161575189
1101	25-29	-0.07712462659522146
1101	30-34	-0.07717440235665407
1101	35-39	-0.047579398061927236
1101	40-44	-0.05134959739848455
1101	45-49	-0.07430491853020271
1101	50-54	-0.05731589219613653
1101	55-59	-0.056064024496713216
1101	60-64	-0.07740663727152253
1101	65-69	-0.06343296501025719
1101	70-74	-0.09441456172384477
1101	75-79	-0.0707771239836319
1101	80-84	-0.08444384623028611
1101	85-89	-0.05498713152317691
1101	90-94	-0.0464775919299143
1101	95-99	-0.043168288638881336
1101	100-104	-0.07695819368601775
1101	105-109	-0.09212993639830103
1101	110-114	-0.051552205016463404
1101	115-119	-0.0880337774807387
1101	120-124	-0.06870486850579738
1101	125-129	-0.06929274165747756
1101	130-134	-0.0523825078802318
1101	135-139	-0.02968901466778817
1101	140-144	0.0026968403562719345
1101	145-149	0.041188288757084024
1101	150	0.08723525709771707
1102	1	-0.09574889648617813
1102	2	-0.08359408418311176
1102	3	-0.03783173021909647
1102	4	0.029793616142868018
1102	5	-0.08760652459201879
1102	6	-0.016806733407015884
1102	7	-0.08618526911542546
1102	8	-0.0626975363782094
1102	9	0.013307331258751276
1102	10-14	-0.015111083050285856
1102	15-19	-0.06240119793527299
1102	20-24	-0.04662251649415339
1102	25-29	-0.05515851723151144
1102	30-34	-0.08379842715671515
1102	35-39	-0.16502661980826616
1102	40-44	-0.0974986438681924
1102	45-49	-0.04281682278060117
1102	50-54	-0.08641119866339864
1102	55-59	-0.13147548157653688
1102	60-64	-0.11635374221602035
1102	65-69	-0.12211150676495919
1102	70-74	-0.12358606212202972
1102	75-79	-0.10941530079161765
1102	80-84	-0.09114649871398228
1102	85-89	-0.13124771232911314
1102	90-94	-0.0833131421417761
1102	95-99	-0.11997945825552847
1102	100-104	-0.10878210667971189
1102	105-109	-0.06817769792174033
1102	110-114	-0.1256678167620393
1102	115-119	-0.09393847192765747
1102	120-124	-0.12232173281126535
1102	125-129	-0.135497714464357
1102	130-134	-0.09091714252773642
1102	135-139	-0.10843786587251003
1102	140-144	-0.0856505852788203
1102	145-149	-0.06264206218295243
1102	150	-0.07334748487738807
1103	1	-0.1257340314323585
1103	2	0.07633045004103423
1103	3	-0.02835734998259909
1103	4	0.1195145727914948
1103	5	0.026495986003830296
1103	6	-0.024970107830000643
1103	7	0.06642578941526267
1103	8	0.0020599770708287224
1103	9	0.09206711379699328
1103	10-14	-0.029537916847672818
1103	15-19	-0.02954062036955918
1103	20-24	-0.0205590323863305
1103	25-29	0.01286950038498702
